,importance
rpm_roll_max_72h,0.14636454
vibration_x_temp,0.13085966
vibration_ewm_12h,0.07935635
process_temperature_roll_min_6h,0.03359508
vibration_roll_mean_6h,0.031557523
rpm_roll_max_48h,0.028874375
process_temperature_roll_min_12h,0.025585685
vibration_ewm_6h,0.024336647
process_temperature_ewm_48h,0.018715046
process_temperature_ewm_24h,0.018377706
process_temperature_ewm_12h,0.017053682
process_temperature_roll_mean_12h,0.015780888
vibration_roll_mean_12h,0.014458391
process_temperature_roll_mean_24h,0.013932793
vibration_ewm_48h,0.012653635
vibration_zscore,0.011588041
vibration_roll_min_24h,0.010839832
process_temperature_roll_min_24h,0.01077686
vibration_roll_mean_24h,0.009555328
vibration_roll_min_48h,0.008731553
vibration_roll_mean_48h,0.008701098
process_temperature_ewm_6h,0.008520374
process_temperature_roll_min_48h,0.008467424
vibration_ewm_24h,0.00841851
vibration_roll_mean_72h,0.008032285
vibration,0.006540553
process_temperature_roll_min_72h,0.0063463207
vibration_roll_max_48h,0.006340664
vibration_roll_max_72h,0.0062788385
process_temperature,0.006259572
process_temperature_roll_mean_72h,0.006187366
vibration_lag_12,0.0060770283
vibration_roll_min_72h,0.0059443843
process_temperature_roll_mean_48h,0.005780763
vibration_roll_max_12h,0.0057360637
vibration_ewm_72h,0.005522071
vibration_roll_min_12h,0.0054809116
temp_norm,0.0054466864
process_temperature_ewm_72h,0.005388277
rpm_roll_min_72h,0.0053180866
vibration_norm,0.0049142884
cum_thermal_since_maint,0.004628435
process_temperature_roll_mean_6h,0.0042113136
process_temperature_roll_max_72h,0.004202801
torque_roll_min_72h,0.0041474374
torque_lag_24,0.00403469
vibration_roll_std_24h,0.0038948914
process_temperature_roll_max_6h,0.0036228593
vibration_roll_max_6h,0.0035550985
torque_roll_max_72h,0.0032706803
torque_roll_max_48h,0.0030012259
rpm_roll_max_24h,0.0028604134
process_temperature_roll_max_24h,0.0021761083
torque_roll_min_48h,0.002098259
torque_roll_mean_24h,0.0020448426
idle_duration_roll_max_72h,0.0019948399
vibration_lag_1,0.001990023
vibration_roll_min_6h,0.0019503516
hrs_since_maintenance,0.0019169174
cum_vibration_since_maint,0.0018750816
torque_roll_mean_12h,0.0018053844
power_consumption_roll_min_72h,0.0017727321
idle_duration_roll_mean_72h,0.0017401522
current_roll_max_72h,0.0017296923
process_temperature_roll_max_12h,0.0017118994
current_ewm_72h,0.0017110293
air_temperature_roll_mean_48h,0.0017092333
process_temperature_lag_24,0.0017030331
wear_cycle_sin,0.0016800321
idle_duration_roll_min_48h,0.0016796521
idle_duration_roll_mean_24h,0.0016511105
vibration_roll_max_24h,0.0016208172
time_in_cycle,0.0016192114
process_temperature_roll_std_72h,0.0016150547
idle_duration_delta_24h,0.0016039318
wear_cycle_cos,0.0015937997
vibration_lag_6,0.0015579954
current_roll_min_72h,0.0015527253
vibration_lag_3,0.0015351479
maintenance_rate,0.0015220826
air_temperature_roll_min_12h,0.0015174199
air_temperature_roll_max_72h,0.001514131
idle_duration_roll_min_12h,0.0015140948
torque_roll_std_12h,0.0014809202
torque_roll_std_72h,0.0014614842
vibration_roll_std_72h,0.0014552514
torque_roll_min_6h,0.001381226
air_temperature_roll_min_72h,0.001371693
air_temperature_roll_min_48h,0.0013547703
power_consumption_roll_max_48h,0.0013279376
current_roll_max_24h,0.0013251281
air_temperature_roll_mean_6h,0.001314333
air_temperature,0.0013115443
power_consumption_roll_max_24h,0.0013021266
idle_duration_roll_max_48h,0.0012707904
idle_duration_roll_mean_48h,0.0012662489
process_temperature_roll_max_48h,0.0012556191
rpm_roll_min_48h,0.0012457052
idle_duration_roll_min_72h,0.0012385428
current_roll_mean_72h,0.0012299325
idle_duration_roll_min_24h,0.0012205575
idle_duration_lag_12,0.0012079449
process_temperature_lag_6,0.0011815501
idle_duration_ewm_72h,0.0011739829
torque_roll_mean_48h,0.001171219
air_temperature_roll_max_48h,0.0011592722
idle_duration_roll_std_48h,0.0011352706
current_roll_mean_48h,0.0011310632
torque_roll_max_12h,0.0011211918
rpm_roll_mean_72h,0.0011169559
vibration_delta_1h,0.0011149816
current_roll_std_72h,0.0011126371
torque_roll_min_24h,0.0011126077
air_temperature_delta_1h,0.0011084229
current_roll_max_48h,0.001106842
current_roll_min_24h,0.0011065475
vibration_roll_std_48h,0.0010833287
air_temperature_roll_max_12h,0.0010805664
current_ewm_12h,0.0010395838
rpm_roll_min_12h,0.0010318168
process_temperature_lag_1,0.0010141066
torque_roll_max_24h,0.0010042955
current_ewm_48h,0.0009971296
air_temperature_roll_max_24h,0.0009751983
torque_roll_min_12h,0.00096887845
power_consumption_roll_max_72h,0.00096774305
idle_duration_ewm_6h,0.0009608233
air_temperature_delta_6h,0.00094389
rpm_roll_min_24h,0.00091354066
process_temperature_roll_std_24h,0.00091267144
air_temperature_roll_mean_72h,0.00091055135
torque_ewm_12h,0.00090994395
rpm_roll_std_12h,0.0008884504
current_roll_min_48h,0.0008770783
air_temperature_roll_std_72h,0.0008594523
process_temperature_roll_std_48h,0.0008563791
current_roll_std_24h,0.00083299755
air_temperature_roll_min_24h,0.0008302678
idle_duration_roll_std_72h,0.00082854135
torque_roll_mean_72h,0.0008251272
power_consumption_roll_mean_72h,0.0008061673
current_roll_std_48h,0.0007982021
vibration_lag_24,0.0007962504
rpm_ewm_48h,0.0007705856
rpm_roll_mean_48h,0.00075038883
air_temperature_roll_std_24h,0.0007485242
rpm_roll_std_24h,0.0007470229
torque_roll_std_48h,0.00073949306
air_temperature_lag_12,0.00072894286
current_roll_mean_24h,0.00069842825
idle_duration_roll_max_24h,0.00069628336
idle_duration_roll_std_12h,0.00069340086
power_consumption_roll_max_12h,0.00069120456
idle_duration_roll_std_6h,0.00069112214
current_lag_12,0.0006887378
process_temperature_roll_std_6h,0.0006692297
current,0.000661976
air_temperature_roll_std_48h,0.0006429706
power_consumption_ewm_12h,0.00063755125
rpm_ewm_72h,0.0006291981
torque_roll_std_24h,0.0006249019
idle_duration_lag_24,0.0006190506
power_consumption_roll_min_12h,0.00061278895
torque_ewm_24h,0.00059074606
air_temperature_ewm_72h,0.00058158935
rpm_roll_mean_12h,0.0005768173
rpm_roll_max_12h,0.00057560246
process_temperature_delta_24h,0.0005723544
torque_delta_1h,0.0005623052
idle_duration_roll_max_12h,0.0005620022
rpm_roll_mean_24h,0.0005501462
process_temperature_lag_3,0.00054707256
air_temperature_ewm_48h,0.0005468516
rpm_roll_mean_6h,0.0005396727
rpm_roll_std_72h,0.0005373295
air_temperature_roll_min_6h,0.00052772986
idle_duration_roll_std_24h,0.00051933236
current_ewm_6h,0.00051397196
rpm_lag_3,0.0005085246
power_consumption_roll_min_48h,0.00049939915
torque_roll_max_6h,0.00048577721
process_temperature_lag_12,0.00048546633
rpm_lag_12,0.00047189835
torque_lag_1,0.00046966498
vibration_trend,0.00046792944
current_roll_min_12h,0.00046667855
current_roll_std_12h,0.0004265091
rpm_roll_min_6h,0.00042500295
thermal_stress,0.0004249201
rpm_delta_24h,0.00040806655
current_roll_min_6h,0.00040199552
power_consumption_roll_min_6h,0.0004015194
air_temperature_roll_mean_12h,0.0003997512
process_temperature_roll_std_12h,0.00038905456
air_temperature_roll_mean_24h,0.00038637666
power_consumption_roll_std_48h,0.0003792285
idle_duration_ewm_24h,0.00037342237
rpm_roll_std_48h,0.00037208857
torque_ewm_72h,0.0003699441
vibration_roll_std_6h,0.00036274875
idle_duration_delta_6h,0.00034958133
idle_duration_roll_min_6h,0.00033510558
air_temperature_roll_std_12h,0.00033109973
idle_duration_lag_1,0.00032405567
process_temperature_delta_1h,0.0003234931
air_temperature_roll_std_6h,0.00032012715
air_temperature_roll_max_6h,0.0003128951
torque_roll_mean_6h,0.00031174388
power_consumption_roll_mean_6h,0.00030547343
current_roll_mean_6h,0.00029763154
temp_trend,0.00029252822
torque_roll_std_6h,0.00029151858
current_lag_3,0.0002879398
rpm,0.00028731828
torque_ewm_48h,0.00028138375
vibration_roll_std_12h,0.0002620236
